,ref,LED1,LED2,LED3
wavelength,517,456,630,658
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0.001034139,0,0
412,0,0.001157408,0,0
413,0,0.001184469,0.00104383,0
414,0,0.001115055,0,0
415,0,0.001228501,0,0
416,0,0.00140835,0,0
417,0,0.001490663,0,0
418,0,0.001639979,0,0
419,0,0.001945091,0,0
420,0,0.002243713,0,0
421,0,0.002403127,0,0
422,0,0.002726119,0,0
423,0,0.00329524,0,0
424,0,0.003834343,0,0
425,0,0.004497395,0,0
426,0,0.005242146,0,0
427,0,0.00601788,0,0
428,0,0.006788214,0,0
429,0,0.007793758,0,0
430,0,0.009085731,0,0
431,0,0.010632204,0,0
432,0,0.012280885,0,0
433,0,0.014277622,0,0
434,0,0.016536031,0,0
435,0,0.019062419,0,0
436,0,0.021972863,0,0
437,0,0.025487592,0,0
438,0,0.029778308,0,0
439,0,0.034488847,0,0
440,0,0.039734988,0,0
441,0,0.045800014,0,0
442,0,0.05350971,0,0
443,0,0.062015661,0,0
444,0,0.071886387,0,0
445,0,0.083480826,0,0
446,0,0.096927226,0,0
447,0,0.111839277,0,0
448,0,0.12834386,0,0
449,0,0.145603709,0,0
450,0,0.164236825,0,0
451,0,0.182833082,0,0
452,0,0.200965116,0,0
453,0,0.216776722,0,0
454,0,0.229323672,0,0
455,0,0.238226105,0,0
456,0,0.242742388,0,0
457,0,0.241693301,0,0
458,0,0.236458978,0,0
459,0,0.227685891,0,0
460,0,0.215519903,0,0
461,0,0.202066163,0,0
462,0,0.187607324,0,0
463,0.001060462,0.172574211,0,0
464,0,0.158082603,0,0
465,0,0.145160406,0,0
466,0.001009667,0.133622697,0,0
467,0.001073632,0.123307358,0,0
468,0.001236618,0.114247108,0,0
469,0.001292602,0.105958482,0,0
470,0.001167604,0.098101676,0,0
471,0.001296429,0.091025407,0,0
472,0.001548687,0.084091435,0,0
473,0.001553998,0.077251262,0,0
474,0.001637979,0.070505674,0,0
475,0.001778702,0.064079599,0,0
476,0.002104546,0.057650798,0,0
477,0.002395918,0.051912191,0,0
478,0.002606092,0.046667796,0,0
479,0.00297165,0.041935938,0,0
480,0.00352412,0.037634401,0,0
481,0.004081275,0.033733215,0,0
482,0.004500735,0.030399256,0,0
483,0.004898753,0.027615899,0,0
484,0.005362083,0.024894348,0,0
485,0.00597681,0.022662265,0,0
486,0.006668421,0.020810629,0,0
487,0.007541881,0.018981823,0,0
488,0.008520801,0.017309081,0,0
489,0.009447704,0.015790848,0,0
490,0.010434406,0.014330488,0,0
491,0.011691981,0.013054538,0,0
492,0.013186867,0.011925467,0,0
493,0.015121488,0.01100624,0,0
494,0.017032046,0.009982172,0,0
495,0.018939592,0.008985012,0,0
496,0.021149185,0.008059158,0,0
497,0.023577282,0.007311903,0,0
498,0.026121845,0.00659291,0,0
499,0.028808505,0.005918062,0,0
500,0.031949213,0.005440219,0,0
501,0.035285021,0.004999555,0,0
502,0.038659027,0.004561564,0,0
503,0.042107361,0.004145523,0,0
504,0.045713305,0.003761087,0,0
505,0.04954274,0.003483121,0,0
506,0.053347167,0.003217025,0,0
507,0.056854356,0.002908381,0,0
508,0.060494878,0.002738861,0,0
509,0.064050987,0.002516076,0,0
510,0.067142704,0.002312984,0,0
511,0.069865908,0.002136941,0,0
512,0.072339227,0.001919923,0,0
513,0.074392339,0.001797526,0,0
514,0.075978612,0.001708055,0,0
515,0.07702897,0.00160445,0,0
516,0.077806009,0.001552375,0,0
517,0.078141702,0.001469455,0,0
518,0.0777,0.00135497,0,0
519,0.076658305,0.001217718,0,0
520,0.075556223,0.001146724,0,0
521,0.074020758,0.001052502,0,0
522,0.072325751,0,0,0
523,0.070440393,0,0,0
524,0.068030043,0,0,0
525,0.065538627,0,0,0
526,0.063183963,0,0,0
527,0.06072186,0,0,0
528,0.05808,0,0,0
529,0.055495808,0,0,0
530,0.052863519,0,0,0
531,0.05046779,0,0,0
532,0.04809691,0,0,0
533,0.045728197,0,0,0
534,0.043560343,0,0,0
535,0.041330472,0,0,0
536,0.039241488,0,0,0
537,0.037167468,0,0,0
538,0.035300959,0,0,0
