,ref,LED1,LED2,LED3
wavelength,517,456,630,658
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0.296224695,0,0
420,0,0.337956411,0,0
421,0,0.385900984,0,0
422,0,0.430981721,0,0
423,0,0.485584227,0,0
424,0,0.559022942,0,0
425,0,0.64486474,0,0
426,0,0.770675506,0,0
427,0,0.901083142,0,0
428,0,1.028819059,0,0
429,0,1.202795032,0,0
430,0,1.390431359,0,0
431,0,1.596014536,0,0
432,0,1.861429263,0,0
433,0,2.179856954,0,0
434,0,2.520262088,0,0
435,0,2.915463304,0,0
436,0,3.359243365,0,0
437,0,3.87049588,0,0
438,0,4.500545482,0,0
439,0,5.226232494,0,0
440,0,6.05061971,0,0
441,0,7.028284271,0,0
442,0,8.201467504,0,0
443,0,9.505357533,0,0
444,0,11.02055359,0,0
445,0,12.76074573,0,0
446,0,14.6540444,0,0
447,0,16.88044219,0,0
448,0,19.31315594,0,0
449,0,21.83658073,0,0
450,0,24.59002384,0,0
451,0,27.28439328,0,0
452,0,29.87894693,0,0
453,0,32.11525327,0,0
454,0,33.88818219,0,0
455,0,35.11040405,0,0
456,0,34.9525357,0,0
457,0,34.75633438,0,0
458,0,33.94752371,0,0
459,0,32.70684047,0,0
460,0,30.99138119,0,0
461,0,29.03002415,0,0
462,0,26.92659214,0,0
463,0,24.79204454,0,0
464,0,22.82233527,0,0
465,0,21.02171159,0,0
466,0,18.86436021,0,0
467,0,17.40271308,0,0
468,0,16.1243336,0,0
469,0,14.97523722,0,0
470,0,13.9132819,0,0
471,0,12.93596578,0,0
472,0,11.96363204,0,0
473,0,10.99943208,0,0
474,0,10.03414708,0,0
475,0,9.139220699,0,0
476,0,8.026751242,0,0
477,0,7.239250559,0,0
478,0,6.527462418,0,0
479,0,5.879389003,0,0
480,0,5.282916602,0,0
481,0.588830016,4.755531645,0,0
482,0.653541662,4.301359691,0,0
483,0.737387601,3.913187155,0,0
484,0.808747382,3.538153416,0,0
485,0.894911731,3.224803717,0,0
486,1.002691004,2.930595131,0,0
487,1.122461149,2.678234185,0,0
488,1.251336721,2.444824029,0,0
489,1.413407979,2.24066757,0,0
490,1.599439914,2.053277112,0,0
491,1.792893173,1.872846532,0,0
492,1.99882285,1.701597006,0,0
493,2.240194821,1.546119994,0,0
494,2.51330168,1.396543487,0,0
495,2.808239099,1.260089187,0,0
496,3.093701013,1.113932757,0,0
497,3.464571358,1.009067516,0,0
498,3.865783777,0.913977974,0,0
499,4.296954677,0.821287582,0,0
500,4.751565093,0.749024616,0,0
501,5.232538609,0.69046844,0,0
502,5.73274592,0.634634531,0,0
503,6.257898558,0.582477583,0,0
504,6.81263073,0.532550169,0,0
505,7.407237411,0.499042445,0,0
506,7.844114793,0.451080381,0,0
507,8.362881588,0.409302147,0,0
508,8.897020429,0.377453197,0,0
509,9.391836438,0.346410418,0,0
510,9.858854506,0.320607725,0,0
511,10.2731981,0,0,0
512,10.61206798,0,0,0
513,10.92909438,0,0,0
514,11.13156343,0,0,0
515,11.26462668,0,0,0
516,11.19931863,0,0,0
517,11.2260596,0,0,0
518,11.18052979,0,0,0
519,11.0825285,0,0,0
520,10.93907411,0,0,0
521,10.71945202,0,0,0
522,10.44752755,0,0,0
523,10.15468472,0,0,0
524,9.821529156,0,0,0
525,9.491571888,0,0,0
526,8.85881073,0,0,0
527,8.487270916,0,0,0
528,8.107617511,0,0,0
529,7.737007182,0,0,0
530,7.363274077,0,0,0
531,7.002566678,0,0,0
532,6.671724475,0,0,0
533,6.346862585,0,0,0
534,6.029704163,0,0,0
535,5.727039528,0,0,0
536,5.347246421,0,0,0
537,5.058828858,0,0,0
538,4.791526518,0,0,0
539,4.541010227,0,0,0
540,4.281722575,0,0,0
541,4.042118263,0,0,0
542,3.805517694,0,0,0
543,3.580354009,0,0,0
544,3.358830329,0,0,0
545,3.153355186,0,0,0
546,3.008869305,0,0,0
547,2.829592655,0,0,0
548,2.649640366,0,0,0
