,ref,LED1,LED2,LED3
wavelength,517,456,630,658
380,0,1.24E-05,5.11E-07,1.83E-07
381,0,1.31E-05,0,8.19E-07
382,1.36E-06,1.36E-05,0,2.37E-07
383,0,1.24E-05,1.38E-06,0
384,0,1.37E-05,2.30E-06,0
385,5.80E-07,1.42E-05,0,2.23E-07
386,4.38E-07,1.33E-05,0,1.35E-07
387,4.06E-07,1.13E-05,0,4.74E-07
388,0,1.71E-05,1.98E-07,2.26E-06
389,1.45E-06,1.70E-05,0,3.35E-07
390,2.07E-06,1.65E-05,0,0
391,8.90E-07,1.54E-05,0,5.44E-07
392,1.20E-07,1.82E-05,7.00E-07,0
393,5.10E-07,1.84E-05,2.91E-07,0
394,0,1.81E-05,0,3.72E-06
395,3.15E-07,1.72E-05,0,1.01E-07
396,5.29E-07,1.60E-05,0,0
397,8.48E-07,1.34E-05,0,0
398,1.54E-07,1.40E-05,2.16E-07,2.46E-06
399,0,1.48E-05,0,1.32E-07
400,9.47E-08,1.41E-05,0,0
401,8.92E-09,1.24E-05,0,8.20E-07
402,4.64E-07,1.43E-05,0,3.56E-06
403,0,1.15E-05,0,0
404,0,5.88E-06,0,2.25E-07
405,3.22E-08,1.20E-05,0,1.27E-06
406,0,1.27E-05,1.29E-08,0
407,1.13E-06,1.63E-05,4.91E-06,0
408,3.37E-08,1.73E-05,0,6.56E-07
409,6.83E-07,1.93E-05,2.83E-06,0
410,2.63E-07,1.84E-05,1.38E-07,0
411,4.00E-07,1.97E-05,2.02E-06,1.64E-06
412,3.40E-07,2.36E-05,0,8.83E-07
413,1.15E-06,2.94E-05,1.63E-07,6.42E-07
414,9.63E-07,3.51E-05,0,0
415,5.87E-08,3.98E-05,0,0
416,4.56E-07,5.11E-05,0,1.10E-06
417,1.13E-06,6.68E-05,0,7.67E-07
418,1.93E-06,7.80E-05,0,1.69E-07
419,1.15E-06,9.70E-05,0,2.30E-06
420,1.63E-06,0.000123585,0,2.60E-06
421,4.94E-07,0.000158173,9.44E-07,4.68E-07
422,1.68E-06,0.000191955,1.65E-06,4.62E-07
423,1.63E-06,0.000241838,0,6.72E-07
424,1.47E-06,0.000307205,0,6.71E-07
425,2.65E-06,0.000389533,0,7.97E-07
426,1.40E-06,0.000486396,4.06E-08,1.30E-06
427,1.91E-06,0.000606026,0,3.12E-07
428,9.18E-07,0.000761685,0,3.88E-07
429,1.41E-06,0.000942082,0,6.96E-07
430,1.60E-06,0.001152695,9.71E-07,0
431,1.42E-06,0.001403083,6.17E-07,0
432,1.55E-06,0.001721078,8.24E-07,0
433,1.76E-06,0.002073155,0,0
434,3.73E-06,0.002487894,0,0
435,8.30E-07,0.002982976,0,0
436,3.95E-06,0.003548919,0,0
437,1.67E-06,0.004260594,0,0
438,6.47E-06,0.005017471,7.94E-06,5.64E-06
439,9.94E-06,0.005902488,1.24E-05,1.10E-05
440,7.47E-06,0.006955189,5.71E-06,4.87E-06
441,6.65E-06,0.008274943,4.67E-06,4.10E-06
442,6.39E-06,0.00972712,4.70E-06,3.88E-06
443,7.37E-06,0.011396888,1.86E-06,1.37E-06
444,7.37E-06,0.013391671,2.35E-06,0
445,6.51E-06,0.015798625,3.57E-06,9.20E-08
446,6.40E-06,0.018343957,0,1.42E-07
447,6.69E-06,0.021156487,2.42E-07,9.24E-08
448,8.33E-06,0.024259018,2.35E-06,4.70E-07
449,8.63E-06,0.027696256,0,1.24E-06
450,8.86E-06,0.031062511,1.44E-06,0
451,8.73E-06,0.034249998,1.94E-07,0
452,1.01E-05,0.037085037,2.28E-06,7.33E-07
453,9.18E-06,0.03965139,2.89E-06,0
454,1.05E-05,0.041579169,1.58E-06,1.17E-06
455,1.11E-05,0.042625537,1.45E-08,0
456,1.23E-05,0.04291508,0,0
457,1.33E-05,0.042246588,1.55E-06,0
458,1.37E-05,0.040613723,6.33E-07,3.49E-07
459,1.58E-05,0.038491845,1.82E-06,6.57E-07
460,1.78E-05,0.035855826,0,0
461,1.97E-05,0.033010172,0,0
462,2.09E-05,0.029865293,3.53E-06,0
463,2.32E-05,0.027148094,3.29E-06,0
